DATA,DIESEL,ETANOL,GASOLINA,GNV,DOLAR
2014/01,2.4311969072164907,1.9140583569404872,2.85461384921014,1.7635690476190438,2.3922000000000003
2014/02,2.432889108259284,1.9509601430223782,2.859430589227379,1.7778075880758804,2.377225
2014/03,2.434600953406108,2.061320591132936,2.902291419533445,1.7899426433915209,2.3089250000000003
2014/04,2.435901651010524,2.052545438378024,2.907785758845059,1.7961824324324298,2.2442
2014/05,2.4349345448426583,1.9970058897770169,2.901240586436068,1.8033563535911596,2.2307
2014/06,2.4331925654116136,1.9219305596537917,2.891693770944254,1.8161717948717924,2.2336
2014/07,2.4323466627462382,1.9001888304979448,2.8815155761849613,1.8300564334085752,2.2382
2014/08,2.432030507886963,1.8934727100641704,2.880783112234174,1.8386225352112668,2.26
2014/09,2.431885508766661,1.8904486048604945,2.8766799855686913,1.8321827160493824,2.347125
2014/10,2.432370834707998,1.8770377138413998,2.871448148148166,1.8442680412371109,2.459425
2014/11,2.5006385542168714,1.8951971593898165,2.91170694385816,1.8407667638483955,2.532025
2014/12,2.5376831797235035,1.9211533282840982,2.9304318757386256,1.8345011086474492,2.631775
2015/01,2.5403554996405604,1.9494016212232652,2.9412701646959603,1.8587470588235289,2.655425
2015/02,2.6953738147338355,2.109391592920335,3.170245580607548,1.8744,2.7772
2015/03,2.717106118111492,2.102436094204754,3.1941453756200797,1.8799258373205745,3.047825
2015/04,2.7157848144953283,2.0579235681500405,3.175792498244849,1.8857395209580847,3.0711500000000003
2015/05,2.714396240189877,2.021672286617469,3.1615283319184733,1.8969562500000008,3.090675
2015/06,2.7147445299532875,1.989710365320729,3.15579413319234,1.94415,3.13185
2015/07,2.718137619649692,1.9499306690886975,3.1341588870769743,1.9575552407932035,3.26325
2015/08,2.7204623069936313,1.9194270833333429,3.12221423728814,1.9656418604651171,3.536275
2015/09,2.731484762979672,1.9468840700583627,3.127288870246069,1.9891975308641976,3.859525
2015/10,2.8578241076047446,2.2775478865703485,3.353255582459015,2.012303797468357,3.8939
2015/11,2.9030178832116684,2.504919483101416,3.4842659831121887,2.024211764705884,3.8358
2015/12,2.9157062992126135,2.5622645739910643,3.5293733594810286,2.0302522935779823,3.8971
2016/01,2.9233808065339417,2.6063646324760734,3.5488424541390087,2.0567668393782386,4.0231
2016/02,2.9293366724738616,2.6921146172904034,3.5781569483008537,2.0880237154150207,3.985175
2016/03,2.9282341557813365,2.7417280898876792,3.595560392658928,2.0867543103448303,3.791175
2016/04,2.9279592573491473,2.5805835362142884,3.577618607516913,2.094397058823529,3.5434750000000004
2016/05,2.921708551881411,2.267592523613211,3.5163361999462097,2.0835041322314054,3.538925
2016/06,2.923886234626289,2.280413228822982,3.510085097493016,2.093140776699029,3.4102500000000004
2016/07,2.920217697729047,2.247723634150106,3.4898856878755247,2.089536842105262,3.2579
2016/08,2.9192264800861136,2.3029860854574773,3.4930295437546404,2.114468085106382,3.220375
2016/09,2.9168647166361934,2.3370781578158444,3.4897578196173678,2.1060923076923075,3.25535
2016/10,2.9184283947563654,2.5405452510840845,3.519521332388356,2.1124065040650413,3.20475
2016/11,2.9034300349243383,2.695246923382315,3.5480904226858376,2.114536697247708,3.311225
2016/12,2.9378653271789403,2.7059912912913537,3.6044366732552513,2.104141304347828,3.343875
2017/01,3.0111830885836053,2.785208377239244,3.6576043165467187,2.128325242718447,3.19945
2017/02,3.0204896471274303,2.748962992759527,3.6456467329313935,2.1508563535911605,3.1157
2017/03,2.9685857959961814,2.5740433862434084,3.5674001070520163,2.1542512820512814,3.122525
2017/04,2.9387810683642406,2.4617455153542376,3.500079562942416,2.166664772727275,3.1489000000000003
2017/05,2.9502673808981115,2.4028396823427416,3.4666492659053634,2.1814041666666677,3.22505
2017/06,2.9164229722373345,2.2941386579573195,3.3902252631578795,2.2612634730538925,3.274675
2017/07,2.904647074756236,2.253542263819874,3.385456363905756,2.2799533678756467,3.2216749999999994
2017/08,3.0344106705824814,2.4240037174721296,3.5986741093828933,2.2783687943262403,3.150875
2017/09,3.110602924634424,2.4681317227494945,3.681472859216299,2.289680672268909,3.1472
2017/10,3.169147870846964,2.507947380840016,3.7333894862605073,2.3144685314685325,3.215475
2017/11,3.2426872669152806,2.6523242059145824,3.85494367369592,2.3260096153846166,3.270075
2017/12,3.2716283744974066,2.770977305372033,3.948859056493888,2.336135922330098,3.28825
2018/01,3.297577701878569,2.8684145875764058,4.035862752671493,2.358117154811714,3.23305
2018/02,3.2946181034483235,2.8989934131736503,4.045807523130557,2.352663461538461,3.228075
2018/03,3.2875078838174767,2.8871743589743724,4.029012537829652,2.3256991150442485,3.275825
2018/04,3.333957127252905,2.822936436506821,4.04886737739873,2.3312453703703717,3.40605
2018/05,3.539088888888921,2.6491777070064266,4.114077940939145,2.352873737373736,3.629175
2018/06,3.3241275272161457,2.7829350669100408,4.375497447795803,2.3868703703703704,3.809525
2018/07,3.2731204887752012,2.5981502605267197,4.2962960638904555,2.3783125,3.819025
2018/08,3.2722896622313056,2.4578135334520956,4.260105982465192,2.4211031390134536,3.929775
2018/09,3.5046184092940207,2.6183780451128387,4.4292405854550765,2.4385376344086027,4.080325
2018/10,3.61014270967745,2.7764947837150467,4.545875563570774,2.4474126213592244,3.854
2018/11,3.564493252942873,2.76905920405011,4.4212193557582316,2.451800000000002,3.8034
2018/12,3.3792532307692467,2.6612268490680058,4.184411406844082,2.4600666666666675,3.87745
